Large category	Small category	ID	Name
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00012	Glyoxylate cycle
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00373	Ethylmalonyl pathway
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00740	Methylaspartate cycle
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00532	Photorespiration
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00014	Glucuronate pathway (uronate pathway)
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00081	Pectin degradation
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00565	Trehalose biosynthesis, D-glucose 1P => trehalose
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00793	dTDP-L-rhamnose biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00794	dTDP-6-deoxy-D-allose biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00795	dTDP-beta-L-noviose biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00796	dTDP-D-mycaminose biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00797	dTDP-D-desosamine biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00798	dTDP-L-mycarose biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00799	dTDP-L-oleandrose biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00800	dTDP-L-megosamine biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00801	dTDP-L-olivose biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00802	dTDP-D-forosamine biosynthesis
Carbohydrate and lipid metabolism	Other carbohydrate metabolism	M00803	dTDP-D-angolosamine biosynthesis
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00082	Fatty acid biosynthesis, initiation
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00083	Fatty acid biosynthesis, elongation
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00085	Fatty acid biosynthesis, elongation, mitochondria
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00415	Fatty acid biosynthesis, elongation, endoplasmic reticulum
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00113	Jasmonic acid biosynthesis
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00086	beta-Oxidation, acyl-CoA synthesis
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00087	beta-Oxidation
Carbohydrate and lipid metabolism	Fatty acid metabolism	M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Carbohydrate and lipid metabolism	Lipid metabolism	M00089	Triacylglycerol biosynthesis
Carbohydrate and lipid metabolism	Lipid metabolism	M00098	Acylglycerol degradation
Carbohydrate and lipid metabolism	Lipid metabolism	M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
Carbohydrate and lipid metabolism	Lipid metabolism	M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
Carbohydrate and lipid metabolism	Lipid metabolism	M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
Carbohydrate and lipid metabolism	Lipid metabolism	M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
Carbohydrate and lipid metabolism	Lipid metabolism	M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
Carbohydrate and lipid metabolism	Lipid metabolism	M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol
Carbohydrate and lipid metabolism	Lipid metabolism	M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate
Carbohydrate and lipid metabolism	Lipid metabolism	M00094	Ceramide biosynthesis
Carbohydrate and lipid metabolism	Lipid metabolism	M00066	Lactosylceramide biosynthesis
Carbohydrate and lipid metabolism	Lipid metabolism	M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid
Carbohydrate and lipid metabolism	Lipid metabolism	M00099	Sphingosine biosynthesis
Carbohydrate and lipid metabolism	Lipid metabolism	M00100	Sphingosine degradation
Carbohydrate and lipid metabolism	Lipopolysaccharide metabolism	M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
Carbohydrate and lipid metabolism	Lipopolysaccharide metabolism	M00063	CMP-KDO biosynthesis
Carbohydrate and lipid metabolism	Lipopolysaccharide metabolism	M00064	ADP-L-glycero-D-manno-heptose biosynthesis
Carbohydrate and lipid metabolism	Lipopolysaccharide metabolism	M00080	Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen
Carbohydrate and lipid metabolism	Glycan metabolism	M00055	N-glycan precursor biosynthesis
Carbohydrate and lipid metabolism	Glycan metabolism	M00072	N-glycosylation by oligosaccharyltransferase
Carbohydrate and lipid metabolism	Glycan metabolism	M00073	N-glycan precursor trimming
Carbohydrate and lipid metabolism	Glycan metabolism	M00074	N-glycan biosynthesis, high-mannose type
Carbohydrate and lipid metabolism	Glycan metabolism	M00075	N-glycan biosynthesis, complex type
Carbohydrate and lipid metabolism	Glycan metabolism	M00056	O-glycan biosynthesis, mucin type core
Carbohydrate and lipid metabolism	Glycan metabolism	M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer
Carbohydrate and lipid metabolism	Glycan metabolism	M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer
Carbohydrate and lipid metabolism	Glycan metabolism	M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer
Carbohydrate and lipid metabolism	Glycan metabolism	M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3
Carbohydrate and lipid metabolism	Glycan metabolism	M00065	GPI-anchor biosynthesis, core oligosaccharide
Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide
Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone
Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone
Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	M00076	Dermatan sulfate degradation
Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	M00077	Chondroitin sulfate degradation
Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	M00078	Heparan sulfate degradation
Carbohydrate and lipid metabolism	Glycosaminoglycan metabolism	M00079	Keratan sulfate degradation
Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	M00095	C5 isoprenoid biosynthesis, mevalonate pathway
Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	M00364	C10-C20 isoprenoid biosynthesis, bacteria
Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	M00365	C10-C20 isoprenoid biosynthesis, archaea
Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	M00366	C10-C20 isoprenoid biosynthesis, plants
Carbohydrate and lipid metabolism	Terpenoid backbone biosynthesis	M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00102	Ergocalciferol biosynthesis
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00103	Cholecalciferol biosynthesis
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00107	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
Carbohydrate and lipid metabolism	Sterol biosynthesis	M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone
Carbohydrate and lipid metabolism	Other terpenoid biosynthesis	M00097	beta-Carotene biosynthesis, GGAP => beta-carotene
Carbohydrate and lipid metabolism	Other terpenoid biosynthesis	M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid
Carbohydrate and lipid metabolism	Other terpenoid biosynthesis	M00371	Castasterone biosynthesis, campesterol => castasterone
Nucleotide and amino acid metabolism	Purine metabolism	M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
Nucleotide and amino acid metabolism	Purine metabolism	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
Nucleotide and amino acid metabolism	Purine metabolism	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
Nucleotide and amino acid metabolism	Purine metabolism	M00546	Purine degradation, xanthine => urea
Nucleotide and amino acid metabolism	Pyrimidine metabolism	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
Nucleotide and amino acid metabolism	Pyrimidine metabolism	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
Nucleotide and amino acid metabolism	Pyrimidine metabolism	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
Nucleotide and amino acid metabolism	Pyrimidine metabolism	M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate
Nucleotide and amino acid metabolism	Serine and threonine metabolism	M00020	Serine biosynthesis, glycerate-3P => serine
Nucleotide and amino acid metabolism	Serine and threonine metabolism	M00018	Threonine biosynthesis, aspartate => homoserine => threonine
Nucleotide and amino acid metabolism	Serine and threonine metabolism	M00555	Betaine biosynthesis, choline => betaine
Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	M00021	Cysteine biosynthesis, serine => cysteine
Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	M00338	Cysteine biosynthesis, homocysteine + serine => cysteine
Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	M00609	Cysteine biosynthesis, methionine => cysteine
Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	M00017	Methionine biosynthesis, apartate => homoserine => methionine
Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	M00034	Methionine salvage pathway
Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	M00035	Methionine degradation
Nucleotide and amino acid metabolism	Cysteine and methionine metabolism	M00368	Ethylene biosynthesis, methionine => ethylene
Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Nucleotide and amino acid metabolism	Branched-chain amino acid metabolism	M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Nucleotide and amino acid metabolism	Lysine metabolism	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
Nucleotide and amino acid metabolism	Lysine metabolism	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
Nucleotide and amino acid metabolism	Lysine metabolism	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
Nucleotide and amino acid metabolism	Lysine metabolism	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
Nucleotide and amino acid metabolism	Lysine metabolism	M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
Nucleotide and amino acid metabolism	Lysine metabolism	M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate
Nucleotide and amino acid metabolism	Lysine metabolism	M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
Nucleotide and amino acid metabolism	Lysine metabolism	M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
Nucleotide and amino acid metabolism	Arginine and proline metabolism	M00015	Proline biosynthesis, glutamate => proline
Nucleotide and amino acid metabolism	Arginine and proline metabolism	M00028	Ornithine biosynthesis, glutamate => ornithine
Nucleotide and amino acid metabolism	Arginine and proline metabolism	M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine
Nucleotide and amino acid metabolism	Arginine and proline metabolism	M00844	Arginine biosynthesis, ornithine => arginine
Nucleotide and amino acid metabolism	Arginine and proline metabolism	M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
Nucleotide and amino acid metabolism	Arginine and proline metabolism	M00029	Urea cycle
Nucleotide and amino acid metabolism	Histidine metabolism	M00026	Histidine biosynthesis, PRPP => histidine
Nucleotide and amino acid metabolism	Histidine metabolism	M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00023	Tryptophan biosynthesis, chorismate => tryptophan
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00024	Phenylalanine biosynthesis, chorismate => phenylalanine
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00025	Tyrosine biosynthesis, chorismate => tyrosine
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00044	Tyrosine degradation, tyrosine => homogentisate
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00350	Capsaicin biosynthesis, L-Phenylalanine => Capsaicin
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin
Nucleotide and amino acid metabolism	Aromatic amino acid metabolism	M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
Nucleotide and amino acid metabolism	Other amino acid metabolism	M00033	Ectoine biosynthesis, aspartate => ectoine
Nucleotide and amino acid metabolism	Other amino acid metabolism	M00027	GABA (gamma-Aminobutyrate) shunt
Nucleotide and amino acid metabolism	Other amino acid metabolism	M00047	Creatine pathway
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00115	NAD biosynthesis, aspartate => NAD
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00622	Nicotinate degradation, nicotinate => fumarate
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00120	Coenzyme A biosynthesis, pantothenate => CoA
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00577	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00126	Tetrahydrofolate biosynthesis, GTP => THF
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00121	Heme biosynthesis, glutamate => heme
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00846	Siroheme biosynthesis, glutamate => siroheme
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00847	Heme biosynthesis, archaea, siroheme => heme
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00550	Ascorbate degradation, ascorbate => D-xylulose-5P
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00112	Tocopherol/tocotorienol biosynthesis
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00122	Cobalamin biosynthesis, cobinamide => cobalamin
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00116	Menaquinone biosynthesis, chorismate => menaquinone
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00118	Glutathione biosynthesis, glutamate => glutathione
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00140	C1-unit interconversion, prokaryotes
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00141	C1-unit interconversion, eukaryotes
Nucleotide and amino acid metabolism	Cofactor and vitamin biosynthesis	M00836	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430
Nucleotide and amino acid metabolism	Polyamine biosynthesis	M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine
Nucleotide and amino acid metabolism	Polyamine biosynthesis	M00134	Polyamine biosynthesis, arginine => ornithine => putrescine
Nucleotide and amino acid metabolism	Polyamine biosynthesis	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA
Nucleotide and amino acid metabolism	Polyamine biosynthesis	M00136	GABA biosynthesis, prokaryotes, putrescine => GABA
Secondary metabolism	Aromatics degradation	M00538	Toluene degradation, toluene => benzoate
Secondary metabolism	Aromatics degradation	M00537	Xylene degradation, xylene => methylbenzoate
Secondary metabolism	Aromatics degradation	M00419	Cymene degradation, p-cymene => p-cumate
Secondary metabolism	Aromatics degradation	M00547	Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol
Secondary metabolism	Aromatics degradation	M00548	Benzene degradation, benzene => catechol
Secondary metabolism	Aromatics degradation	M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol
Secondary metabolism	Aromatics degradation	M00637	Anthranilate degradation, anthranilate => catechol
Secondary metabolism	Aromatics degradation	M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate
Secondary metabolism	Aromatics degradation	M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA
Secondary metabolism	Aromatics degradation	M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate
Secondary metabolism	Aromatics degradation	M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate
